商品名,カロリー(kcal),カテゴリー
えびフィレオ®,408,バーガー
てりやきチキンフィレオ,496,バーガー
てりやきマックバーガー,477,バーガー
アボカドマヨチーズシュリンプ,459,バーガー
エグチ(エッグチーズバーガー),390,バーガー
エッグマックマフィン®,310,バーガー
ザク切りポテト&肉厚ビーフ コク旨ガーリックペッパー,588,バーガー
ザク切りポテト&倍肉厚ビーフ コク旨ガーリックペッパー,755,バーガー
ソーセージエッグマフィン,477,バーガー
ソーセージマフィン,397,バーガー
ダブルチーズバーガー,459,バーガー
チーズバーガー,310,バーガー
チキチー® (マックチキン® チーズ),433,バーガー
チキンフィレオ®,479,バーガー
チキンマックマフィン,398,バーガー
ハンバーガー,259,バーガー
バターパット,60,バーガー
ビッグマック®,525,バーガー
フィレオフィッシュ®,338,バーガー
ベーコンエッグマックサンド,294,バーガー
ベーコンレタスバーガー,362,バーガー
ホットケーキ,323,バーガー
ホットケーキシロップ,121,バーガー
マックグリドル® ソーセージ,414,バーガー
マックグリドル® ソーセージエッグ,545,バーガー
マックグリドル® ベーコンエッグ,382,バーガー
マックチキン®,383,バーガー
マックポーク®,401,バーガー
メガマフィン,693,バーガー
メキシカンタコスチーズチキン,559,バーガー
メキシカンタコスチーズチキンマフィン,476,バーガー
倍えびフィレオ,582,バーガー
倍てりやきチキンフィレオ,769,バーガー
倍てりやきマックバーガー,731,バーガー
倍エグチ(倍エッグチーズバーガー),489,バーガー
倍ダブルチーズバーガー,657,バーガー
倍チーズバーガー,409,バーガー
倍チキチー(倍マックチキン チーズ),593,バーガー
倍チキンフィレオ,725,バーガー
倍ハンバーガー,358,バーガー
倍ビッグマック,723,バーガー
倍フィレオフィッシュ,453,バーガー
倍ベーコンレタスバーガー,461,バーガー
倍マックチキン,542,バーガー
倍マックポーク,628,バーガー
炙り醤油風 たまごベーコン肉厚ビーフ,517,バーガー
炙り醤油風 ダブル肉厚ビーフ,633,バーガー
チーズチーズてりやきマックバーガー,578,バーガー
チーズチーズダブルチーズバーガー,561,バーガー
えだまめコーン,83,サイドメニュー
りんご&クリーム,31,サイドメニュー
ケチャップ,23,サイドメニュー
サイドサラダ,10,サイドメニュー
シャカシャカポテト® ガーリックステーキ味シーズニング,7,サイドメニュー
シャカチキ,246,サイドメニュー
シャカチキ チェダーチーズ味シーズニング,8,サイドメニュー
ソフトツイスト,146,サイドメニュー
チキンマックナゲット® 15ピース,786,サイドメニュー
チキンマックナゲット® 5ピース,262,サイドメニュー
ハッシュポテト,157,サイドメニュー
バーベキューソース,33,サイドメニュー
プチパンケーキ,161,サイドメニュー
ホットアップルパイ,211,サイドメニュー
マスタードソース,43,サイドメニュー
マックフライポテト®(L),517,サイドメニュー
マックフライポテト®(M),410,サイドメニュー
マックフライポテト®(S),225,サイドメニュー
マックフルーリー® オレオ® クッキー,233,サイドメニュー
マックフルーリー® 超 オレオ® クッキー,352,サイドメニュー
焙煎胡麻ドレッシング(カロリーハーフ),27,サイドメニュー
Qoo 白ぶどう(L),192,ドリンク
Qoo 白ぶどう(M),149,ドリンク
Qoo 白ぶどう(S),96,ドリンク
Qoo 白ぶどう(ジャンボ),297,ドリンク
アールグレイ アイスティー(ストレート)(L),0,ドリンク
アールグレイ アイスティー(ストレート)(M),0,ドリンク
アールグレイ アイスティー(ストレート)(S),0,ドリンク
アールグレイ アイスティー(ミルク)(L),9,ドリンク
アールグレイ アイスティー(ミルク)(M),9,ドリンク
アールグレイ アイスティー(ミルク)(S),9,ドリンク
アールグレイ アイスティー(レモン)(L),1,ドリンク
アールグレイ アイスティー(レモン)(M),1,ドリンク
アールグレイ アイスティー(レモン)(S),1,ドリンク
アイスカフェラテ(M),103,ドリンク
アイスカフェラテ(S),72,ドリンク
アイスキャラメルラテ(M),155,ドリンク
アイスキャラメルラテ(S),124,ドリンク
カフェラテ(M),116,ドリンク
カフェラテ(S),82,ドリンク
ガムシロップ,19,ドリンク
キャラメルラテ(M),169,ドリンク
キャラメルラテ(S),134,ドリンク
コーヒーフレッシュ,9,ドリンク
コカ・コーラ ゼロ(L),0,ドリンク
コカ・コーラ ゼロ(M),0,ドリンク
コカ・コーラ ゼロ(S),0,ドリンク
コカ・コーラ ゼロ(ジャンボ),0,ドリンク
コカ・コーラ(L),188,ドリンク
コカ・コーラ(M),145,ドリンク
